Ratio,Predicted,Sigma,PDGAtScale,Deviation
s/d,20.000000,0.8883,20.000000,0%
b/s,44.753747,0.6172,44.753747,0%
b/d,895.074946,38.8675,895.074946,0%
c/u,587.962963,31.3415,587.962963,0%
t/c,—,—,—,—
t/u,—,—,—,—
